Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season
Gus Edwards,80.0,32.0,800.0,3760.0,30.0,0.36666666666666664,3.9666666666666663,7.0,29.0,0,224.0,56.38333333333333,4.7,10.049999999999999,42.0,33.0,380.0,9.540000000000001,0.0,12.0,49.06666666666666,70.25,6.883333333333334,29,11.0,6.0,101.0,365.0,4.0,3.0,0.3,0.5,0.0,2.0,0,17.0,49.5,43.0,3.6,33.2,9.2,5.0,3.0,6.0,2.0,0.0,0.0,0.0,60.0,1.2
Jamaal Williams,117.0,45.0,1069.0,4122.0,32.0,1.625,11.225,5.0,38.0,0,246.0,49.5125,3.775,9.0125,230.0,187.0,1310.0,6.775,8.0,64.0,48.6375,81.8,5.45,29,14.0,1.0,48.0,164.0,1.0,13.0,0.6,4.1,0.0,1.0,0,11.0,47.9,14.0,3.4,11.7,3.4,11.0,9.0,57.0,6.3,0.0,3.0,54.5,81.8,5.2
Javonte Williams,54.0,29.0,606.0,2394.0,11.0,3.125,18.075,6.0,21.0,0,132.0,45.65,4.0,11.375,203.0,158.0,966.0,5.925,5.0,40.0,38.725,77.275,4.575,24,17.0,11.0,139.0,513.0,4.0,34.0,3.1,20.4,2.0,6.0,0,30.0,46.8,20.0,3.7,30.2,8.2,70.0,52.0,346.0,6.7,0.0,14.0,37.1,74.3,4.9
Jeff Wilson,72.0,16.0,531.0,2370.0,18.0,1.042857142857143,8.057142857142857,9.0,19.0,0,126.0,49.44285714285714,4.214285714285714,7.128571428571428,113.0,74.0,585.0,7.8428571428571425,5.0,25.0,46.271428571428565,73.68571428571428,5.471428571428571,29,9.0,0.0,16.0,57.0,0.0,7.0,0.3,2.1,0.0,1.0,0,3.0,43.8,14.0,3.6,6.3,1.8,3.0,3.0,19.0,6.3,0.0,0.0,100.0,100.0,6.3
Jeremy McNichols,54.0,1.0,145.0,625.0,5.0,0.4714285714285714,3.1571428571428575,0.0,7.0,0,30.0,47.0,3.7,1.5714285714285714,67.0,49.0,322.0,5.3999999999999995,1.0,12.0,31.3,73.10000000000001,3.9333333333333336,29,17.0,1.0,55.0,261.0,4.0,10.0,0.5,1.6,0.0,2.0,0,15.0,58.2,28.0,4.7,15.4,3.2,12.0,9.0,27.0,3.0,0.0,1.0,25.0,75.0,2.3
John Kelly,15.0,0.0,32.0,96.0,0.0,0.1,1.3599999999999999,0.0,1.0,0,7.0,41.333333333333336,4.066666666666666,1.6199999999999999,3.0,2.0,27.0,13.5,0.0,1.0,66.7,66.7,9.0,28,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,
Julius Chestnut,26.0,0.0,31.0,114.0,0.0,0.19999999999999998,2.4666666666666663,0.0,1.0,0,3.0,39.4,2.9499999999999997,0.9333333333333332,6.0,5.0,52.0,9.6,0.0,1.0,50.0,83.35,8.7,24,17.0,0.0,22.0,102.0,0.0,9.0,0.1,0.6,0.0,1.0,0,2.0,45.5,12.0,4.6,6.0,1.3,3.0,2.0,11.0,5.5,0.0,0.0,33.3,66.7,3.7
Kareem Hunt,104.0,46.0,1230.0,5164.0,47.0,2.55,21.3375,5.0,55.0,0,293.0,49.25,4.15,11.5875,317.0,249.0,2066.0,8.25,17.0,105.0,50.125,77.6625,6.4,29,13.0,8.0,200.0,728.0,7.0,26.0,1.8,13.5,0.0,5.0,0,42.0,55.5,20.0,3.6,56.0,15.4,32.0,23.0,176.0,7.7,0.0,10.0,53.1,71.9,5.5
Kene Nwangwu,39.0,0.0,27.0,88.0,0.0,0.125,0.5,0.0,4.0,0,4.0,34.699999999999996,2.966666666666667,0.575,7.0,6.0,30.0,6.4,0.0,1.0,60.0,90.0,6.15,26,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,
Kenneth Gainwell,66.0,4.0,280.0,1185.0,12.0,1.575,10.975,5.0,17.0,0,67.0,43.9,4.25,4.275,138.0,102.0,721.0,7.1,1.0,37.0,43.725,74.775,5.275,25,17.0,1.0,75.0,290.0,1.0,16.0,0.9,6.8,0.0,3.0,0,12.0,24.0,20.0,3.9,17.1,4.4,22.0,16.0,116.0,7.3,0.0,5.0,40.9,72.7,5.3
Khalil Herbert,56.0,13.0,400.0,1905.0,9.0,0.975,5.75,3.0,14.0,0,85.0,50.65,4.525,7.4,70.0,53.0,312.0,5.6,2.0,17.0,33.975,79.475,4.35,26,14.0,1.0,36.0,130.0,1.0,7.0,0.7,1.8,1.0,1.0,0,10.0,55.6,14.0,3.6,9.3,2.6,11.0,10.0,25.0,2.5,0.0,0.0,27.3,90.9,2.3
Mike Boone,72.0,2.0,117.0,590.0,4.0,0.41428571428571426,2.7714285714285714,1.0,3.0,0,26.0,50.24285714285714,5.271428571428571,1.6,38.0,26.0,184.0,5.228571428571429,0.0,5.0,36.81428571428571,73.25714285714285,4.385714285714285,29,6.0,0.0,13.0,51.0,0.0,,0.2,-0.3,0.0,0.0,0,3.0,61.5,9.0,3.9,8.5,2.2,3.0,1.0,-2.0,-2.0,0.0,0.0,0.0,33.3,-0.7
Miles Sanders,84.0,56.0,923.0,4345.0,23.0,2.1166666666666667,14.85,12.0,37.0,0,200.0,50.21666666666667,4.55,10.766666666666666,246.0,175.0,1244.0,6.516666666666667,4.0,48.0,38.416666666666664,72.08333333333333,4.7,27,11.0,2.0,55.0,205.0,2.0,33.0,2.2,13.5,1.0,3.0,0,12.0,45.5,26.0,3.7,18.6,5.0,30.0,24.0,148.0,6.2,1.0,5.0,23.3,80.0,4.9
