Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Signed,Years,Value,Total_GTD
Jerick McKinnon,87.0,18.0,567.0,2299.0,12.0,2.1666666666666665,15.066666666666668,3.0,27.0,0,100.0,44.15,4.383333333333334,6.6000000000000005,257.0,188.0,1344.0,7.216666666666666,7.0,71.0,41.233333333333334,71.85000000000001,5.2,31,12.0,0.0,21.0,60.0,1.0,27.0,2.1,16.0,0.0,2.0,0,7.0,47.6,10.0,2.9,5.0,1.8,32.0,25.0,192.0,7.7,4.0,10.0,43.8,78.1,6.0,True,1,"$1,272,500",$0
Jermar Jefferson,7.0,0.0,15.0,74.0,2.0,0.6,3.3,0.0,1.0,0,4.0,53.3,4.9,2.1,5.0,4.0,23.0,5.8,0.0,2.0,60.0,80.0,4.6,24,2.0,0.0,6.0,22.0,0.0,10.0,0.5,5.0,0.0,0.0,0,1.0,83.3,8.0,3.7,11.0,3.0,1.0,1.0,10.0,10.0,0.0,1.0,100.0,100.0,10.0,False,0,0,0
Jonathan Ward,27.0,0.0,9.0,33.0,0.0,0.15000000000000002,1.7000000000000002,0.0,1.0,0,3.0,44.4,3.7,0.35,5.0,4.0,45.0,11.15,1.0,2.0,75.0,87.5,9.75,27,4.0,0.0,5.0,22.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,60.0,7.0,4.4,5.5,1.3,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
Jordan Wilkins,50.0,4.0,195.0,951.0,4.0,0.575,3.85,2.0,8.0,0,44.0,52.166666666666664,5.1000000000000005,3.25,44.0,35.0,233.0,6.733333333333333,0.0,6.0,46.199999999999996,77.56666666666666,5.166666666666667,28,4.0,0.0,13.0,58.0,0.0,10.0,1.5,7.3,0.0,0.0,0,2.0,61.5,9.0,4.5,14.5,3.3,8.0,6.0,29.0,4.8,0.0,1.0,25.0,75.0,3.6,True,1,"$1,035,000",$0
Jordan Wilkins,50.0,4.0,195.0,951.0,4.0,0.575,3.85,2.0,8.0,0,44.0,52.166666666666664,5.1000000000000005,3.25,44.0,35.0,233.0,6.733333333333333,0.0,6.0,46.199999999999996,77.56666666666666,5.166666666666667,28,4.0,0.0,13.0,58.0,0.0,10.0,1.5,7.3,0.0,0.0,0,2.0,61.5,9.0,4.5,14.5,3.3,8.0,6.0,29.0,4.8,0.0,1.0,25.0,75.0,3.6,False,0,0,0
Justin Jackson,43.0,7.0,206.0,1040.0,4.0,1.55,11.35,1.0,11.0,0,55.0,51.55,5.25,4.85,79.0,65.0,508.0,7.15,0.0,20.0,50.45,81.975,5.85,26,16.0,0.0,42.0,170.0,1.0,15.0,0.8,6.3,0.0,2.0,0,8.0,45.2,27.0,4.0,10.6,2.6,19.0,12.0,101.0,8.4,1.0,7.0,52.6,63.2,5.3,True,1,"$1,035,000",$0
Kalen Ballage,52.0,8.0,213.0,665.0,7.0,1.175,6.4,2.0,6.0,0,47.0,42.75,3.3499999999999996,4.55,79.0,54.0,293.0,5.1,0.0,11.0,29.599999999999998,61.775,3.3249999999999997,26,17.0,0.0,12.0,36.0,0.0,6.0,0.1,0.5,0.0,0.0,0,2.0,41.7,13.0,3.0,2.1,0.7,7.0,2.0,8.0,4.0,0.0,0.0,14.3,28.6,1.1,False,0,0,0
Kenyan Drake,89.0,39.0,758.0,3384.0,29.0,2.283333333333333,17.599999999999998,11.0,33.0,0,180.0,46.21666666666667,4.583333333333333,8.533333333333333,270.0,199.0,1535.0,7.283333333333334,7.0,64.0,47.833333333333336,76.39999999999999,5.483333333333333,29,3.0,0.0,2.0,0.0,0.0,24.0,0.7,10.3,1.0,0.0,0,0.0,0.0,,0.0,0.0,0.7,3.0,2.0,31.0,15.5,0.0,0.0,66.7,66.7,10.3,True,1,"$1,035,000",$0
Kylin Hill,8.0,0.0,10.0,24.0,0.0,0.1,0.6,0.0,0.0,0,1.0,20.0,2.4,1.3,2.0,1.0,5.0,5.0,0.0,0.0,50.0,50.0,2.5,24,2.0,0.0,1.0,7.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,100.0,7.0,7.0,3.5,0.5,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
La'Mical Perine,14.0,0.0,72.0,263.0,2.0,0.55,3.15,0.0,2.0,0,19.0,34.4,3.75,4.2,15.0,11.0,63.0,5.7,0.0,3.0,46.7,73.3,4.2,25,3.0,1.0,22.0,77.0,0.0,25.0,1.0,11.0,0.0,1.0,0,3.0,40.9,10.0,3.5,25.7,7.3,5.0,3.0,33.0,11.0,0.0,1.0,20.0,60.0,6.6,False,0,0,0
