Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Cap
Edwin Baker,6.0,2.0,44.0,173.0,2.0,1.35,9.5,0.0,1.0,0,12.0,76.75,3.0,7.300000000000001,9.0,8.0,57.0,7.1,0.0,3.0,66.7,88.9,6.3,23,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,100.0,2.0,2.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Royster,32.0,2.0,81.0,416.0,2.0,0.8333333333333334,6.133333333333334,0.0,4.0,0,25.0,34.733333333333334,3.233333333333333,3.6333333333333333,38.0,25.0,180.0,5.966666666666666,0.0,7.0,26.266666666666666,76.5,4.2,26,10.0,0.0,2.0,0.0,0.0,3.0,0.1,0.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,3.0,3.0,0.0,0.0,0.0,100.0,3.0,0.0
Frank Gore,148.0,134.0,2442.0,11073.0,64.0,2.4,20.29,35.0,95.0,0,497.0,44.230000000000004,4.5200000000000005,16.48,503.0,342.0,2883.0,8.52,11.0,110.0,40.4,66.41,5.65,37,15.0,14.0,187.0,653.0,2.0,9.0,1.1,5.9,1.0,4.0,0,32.0,44.9,17.0,3.5,43.5,12.5,19.0,16.0,89.0,5.6,0.0,3.0,68.4,84.2,4.7,4000000.0
Fred Jackson,106.0,61.0,1279.0,5646.0,30.0,3.0999999999999996,25.7625,27.0,54.0,0,271.0,47.875,4.45,11.95,437.0,322.0,2640.0,8.2125,7.0,119.0,41.4,74.1125,6.125,34,16.0,0.0,26.0,100.0,0.0,26.0,2.0,16.1,1.0,3.0,0,5.0,42.3,16.0,3.8,6.3,1.6,41.0,32.0,257.0,8.0,2.0,12.0,58.5,78.0,6.3,900000.0
Isaiah Pead,25.0,1.0,17.0,75.0,0.0,0.65,4.45,2.0,1.0,0,4.0,51.45,4.2,0.7,19.0,14.0,94.0,6.199999999999999,0.0,3.0,48.35,74.15,4.6,27,3.0,0.0,8.0,22.0,0.0,6.0,0.3,2.0,0.0,0.0,0,0.0,37.5,4.0,2.8,7.3,2.7,1.0,1.0,6.0,6.0,0.0,0.0,100.0,100.0,6.0,0.0
Isaiah Pead,25.0,1.0,17.0,75.0,0.0,0.65,4.45,2.0,1.0,0,4.0,51.45,4.2,0.7,19.0,14.0,94.0,6.199999999999999,0.0,3.0,48.35,74.15,4.6,27,3.0,0.0,8.0,22.0,0.0,6.0,0.3,2.0,0.0,0.0,0,0.0,37.5,4.0,2.8,7.3,2.7,1.0,1.0,6.0,6.0,0.0,0.0,100.0,100.0,6.0,0.0
Jacquizz Rodgers,63.0,5.0,305.0,1116.0,5.0,2.475,17.6,3.0,18.0,0,63.0,41.775,3.675,4.875,189.0,155.0,1104.0,7.3,5.0,45.0,46.525,80.65,5.875,28,16.0,0.0,33.0,106.0,1.0,24.0,2.4,19.0,1.0,3.0,0,7.0,33.3,20.0,3.2,6.6,2.1,45.0,38.0,304.0,8.0,0.0,13.0,55.6,84.4,6.8,785000.0
Jalen Parmele,36.0,2.0,48.0,187.0,0.0,0.12,1.1,1.0,1.0,0,10.0,20.625,5.125,1.46,9.0,7.0,60.0,8.6,0.0,2.0,55.6,77.8,6.7,29,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe McKnight,41.0,1.0,113.0,505.0,0.0,1.075,11.175,6.0,7.0,0,22.0,37.125,4.225,2.425,31.0,23.0,241.0,11.524999999999999,2.0,15.0,60.325,70.725,7.699999999999999,26,2.0,0.0,1.0,3.0,0.0,26.0,3.0,32.0,0.0,1.0,0,0.0,0.0,3.0,3.0,1.5,0.5,7.0,6.0,64.0,10.7,2.0,5.0,85.7,85.7,9.1,0.0
Jonathan Dwyer,38.0,6.0,246.0,1022.0,3.0,0.6,3.4799999999999995,2.0,8.0,0,50.0,29.419999999999998,4.4,6.92,40.0,29.0,184.0,5.975,0.0,10.0,22.375,77.85,4.675,25,2.0,0.0,16.0,51.0,1.0,5.0,1.0,4.0,0.0,0.0,0,3.0,25.0,20.0,3.2,25.5,8.0,3.0,2.0,8.0,4.0,0.0,0.0,0.0,66.7,2.7,0.0
